Débitos,Fabricante,Modelo,Ano,Categoria,Couro,Combustivel,Volume_motor,Km,Cilindros,Tipo_cambio,Tração,Portas,Cor,Airbags,Preco,Numero_proprietarios,Data_ultima_lavagem,Adesivos_personalizados,Radio_AM_FM,Historico_troca_oleo,Idade,Km_por_ano,Dias_desde_ultima_lavagem,Km_imputado
0.0,OPEL,Astra,1999,Sedan,Sim,Gasolina,1.6,122231.0,4,Manual,Dianteira,4-5,Prata,4,1.0,3,2022-03-01,Sim,FM,5,24,5092.958333333333,306,0
810.0,VOLKSWAGEN,Jetta,2016,Sedan,Sim,Gasolina,1.8,41000.0,4,Automatico,Dianteira,4-5,Branco,8,3.0,3,2022-07-29,Não,AM,6,7,5857.142857142857,156,0
0.0,MERCEDES-BENZ,CLK 230,2004,Cupê,Sim,Gasolina,2.3,328000.0,4,Manual,Traseira,2-3,Azul,0,3.0,5,2021-05-02,Sim,AM/FM,5,19,17263.157894736843,609,0
1502.0,VOLKSWAGEN,Jetta,2014,Sedan,Sim,Gasolina,1.8,134400.0,4,Tiptronic,Dianteira,4-5,Preto,6,3.0,5,2020-04-11,Não,AM/FM,10,9,14933.333333333334,995,0
0.0,NISSAN,X-Terra,2004,SUV,Nao,Gasolina,3.3,170715.47141467666,6,Automatico,4x4,4-5,Preto,2,3.0,4,2020-12-03,Sim,AM/FM,5,19,8985.024811298772,759,1
0.0,HYUNDAI,Elantra,2011,Sedan,Sim,Gasolina,1.8,80000.0,4,Tiptronic,Dianteira,4-5,Cinza,6,3.0,1,2021-09-04,Não,AM/FM,2,12,6666.666666666667,484,0
595.0,TOYOTA,Prius C,2015,Hatchback,Sim,Gasolina,1.5,75200.0,4,Automatico,Dianteira,4-5,Vermelho,12,3.0,1,2021-04-20,Sim,AM/FM,2,8,9400.0,621,0
595.0,TOYOTA,Prius C,2015,Hatchback,Sim,Gasolina,1.5,104000.0,4,Automatico,Dianteira,4-5,Cinza,12,6.0,3,2022-11-15,Não,FM,0,8,13000.0,47,0
0.0,DODGE,Neon,2001,Sedan,Nao,Gasolina,2.0,34000.0,4,Automatico,Dianteira,4-5,Preto,1,6.0,3,2022-01-20,Não,FM,7,22,1545.4545454545455,346,0
0.0,BMW,320,2001,Cupê,Nao,Gasolina,2.5,184242.92388884214,6,Manual,Traseira,2-3,Branco,0,6.0,5,2020-10-15,Não,FM,2,22,8374.678358583733,808,1
595.0,TOYOTA,Prius C,2015,Hatchback,Sim,Gasolina,1.5,105600.0,4,Automatico,Dianteira,4-5,Preto,12,6.0,3,2020-03-30,Não,AM/FM,0,8,13200.0,1007,0
0.0,TOYOTA,Prius,2005,Sedan,Nao,Híbrido,1.6,18000.0,1,Automatico,4x4,4-5,Branco,5,9.0,5,2022-08-29,Sim,FM,6,18,1000.0,125,0
0.0,TOYOTA,Prius,2008,Hatchback,Sim,Híbrido,1.5,135000.0,4,Automatico,Dianteira,4-5,Preto,4,20.0,3,2021-03-29,Não,AM,9,15,9000.0,643,0
0.0,NISSAN,Note,2005,Hatchback,Nao,Gasolina,1.5,136000.0,5,Automatico,Dianteira,4-5,Prata,6,20.0,1,2022-07-26,Sim,AM,4,18,7555.555555555556,159,0
0.0,MERCEDES-BENZ,A 190,2002,Hatchback,Sim,Gasolina,1.9,145000.0,4,Tiptronic,Dianteira,4-5,Preto,4,25.0,3,2022-12-01,Não,FM,8,21,6904.761904761905,31,0
0.0,TOYOTA,Ist,2003,Hatchback,Nao,Gasolina,1.5,146000.0,4,Automatico,Dianteira,4-5,Branco,5,25.0,1,2020-05-13,Não,AM/FM,9,20,7300.0,963,0
0.0,NISSAN,Tiida,2005,Hatchback,Nao,Gasolina,1.5,114000.0,4,Automatico,Dianteira,4-5,Prata,4,25.0,1,2020-03-30,Não,AM/FM,8,18,6333.333333333333,1007,0
0.0,HONDA,FIT,2005,Hatchback,Nao,Gasolina,1.3,157000.0,4,Automatico,Dianteira,4-5,Prata,4,25.0,2,2021-01-08,Sim,AM,1,18,8722.222222222223,723,0
0.0,HONDA,FIT,2002,Hatchback,Nao,Gasolina,1.5,157000.0,4,Automatico,Dianteira,4-5,Prata,5,25.0,2,2020-05-23,Não,AM,2,21,7476.190476190476,953,0
0.0,HONDA,FIT,2010,Sedan,Nao,Gasolina,1.3,101000.0,4,Variator,Dianteira,4-5,Vermelho,6,25.0,1,2021-12-09,Não,AM,0,13,7769.2307692307695,388,0
0.0,TOYOTA,Prius,2006,Sedan,Sim,Híbrido,1.5,252800.0,4,Automatico,Dianteira,4-5,Prata,6,28.0,2,2021-08-16,Não,AM/FM,5,17,14870.588235294117,503,0
0.0,HONDA,Insight,2010,Sedan,Sim,Híbrido,1.3,145000.0,4,Variator,Dianteira,4-5,Branco,12,30.0,5,2020-04-25,Sim,AM/FM,9,13,11153.846153846154,981,0
0.0,HONDA,FIT,2010,Hatchback,Nao,Gasolina,1.3,139000.0,4,Automatico,Dianteira,4-5,Preto,6,30.0,4,2021-06-18,Sim,AM/FM,10,13,10692.307692307691,562,0
0.0,HONDA,FIT,2002,Hatchback,Nao,Gasolina,1.5,152011.74859303914,4,Automatico,Dianteira,4-5,Prata,4,30.0,2,2022-07-31,Sim,FM,8,21,7238.654694906626,154,1
0.0,HONDA,FIT,2005,Hatchback,Nao,Gasolina,1.3,145000.0,4,Automatico,Dianteira,4-5,Branco,4,30.0,4,2022-03-25,Não,FM,8,18,8055.555555555556,282,0
0.0,HONDA,FIT,2005,Hatchback,Nao,Gasolina,1.3,151315.19925005615,4,Automatico,Dianteira,4-5,Prata,4,30.0,4,2021-04-16,Não,FM,7,18,8406.399958336453,625,1
0.0,NISSAN,Note,2005,Hatchback,Nao,Gasolina,1.5,150040.5256965938,4,Automatico,Dianteira,4-5,Cinza,4,30.0,3,2021-01-07,Sim,AM,3,18,8335.584760921878,724,1
0.0,HONDA,FIT,2002,Hatchback,Nao,Gasolina,1.3,155628.98258246845,4,Automatico,Dianteira,4-5,Azul,4,30.0,4,2021-05-08,Não,AM/FM,2,21,7410.903932498498,603,1
0.0,HONDA,FIT,2003,Hatchback,Nao,Gasolina,1.3,150312.34361846416,4,Automatico,Dianteira,4-5,Vermelho,4,30.0,2,2022-04-15,Não,AM/FM,4,20,7515.617180923208,261,1
0.0,HONDA,FIT,2010,Hatchback,Nao,Gasolina,1.3,130026.33534336637,4,Automatico,Dianteira,4-5,Branco,4,30.0,2,2022-01-06,Não,AM/FM,3,13,10002.025795643567,360,1
0.0,TOYOTA,Prius,2009,Sedan,Sim,Híbrido,1.5,175449.1333953879,5,Automatico,Dianteira,>5,Branco,6,30.0,4,2020-12-28,Não,FM,1,14,12532.080956813423,734,1
0.0,HONDA,FIT,2003,Hatchback,Nao,Gasolina,1.3,126000.0,4,Automatico,Dianteira,4-5,Vermelho,4,30.0,3,2020-12-18,Sim,AM,1,20,6300.0,744,0
